id,name,name_kr,description,description_kr,price,image,category_title,category_title_kr,category_note,category_image
V1,Fresh Soft Tofu Salad,순두부 샐러드,Fresh mixed greens topped with house made tofu and our special soy salad dressing,,8.99,,Vegetarian,No Fish or Meat,,dubuSalad
V2,Vegetarian Korean Miso Soft Tofu Soup,된장 순두부,"Korean miso broth, house made soft tofu, and assorted vegetables",,16.50,,,,,
V4,Vegetarian Mushroom Soft Tofu Soup,버섯 순두부,"House made soft tofu, veggies, and  mushrooms",,16.50,,,,,
V5,Vegetarian Vegetable Soft Tofu Soup,야채 순두부,House made tofu with assorted vegetables,,16.50,,,,,
V7,Vegetarian Tofu Hot Stone Bibimbap,두부 돌솥,"Tofu, and assortment of vegetables",,15.95,,,,,
V8,Vegetarian Tofu Hot Pot,두부 전골,"Tofu, and assortment of vegetables, Comes with 2 bowls of rice",,32.95,,,,,
