id,name,name_kr,description,description_kr,price,image,category_title,category_title_kr,category_note,category_image
C1,LA Style Ribs Combo,LA 갈비 콤보,LA style ribs + Your choice of soft tofu soup or noodles,,25.95,,Combo,순두부 콤보,Comes with a serving of stone pot rice,sundubu
C2,Spicy Chicken Combo,닭 불고기 콤보,Spicy korean chicken + Your choice of soft tofu soup or noodles,,22.95,,,,,
C3,Cheese Spicy Chicken Combo,치즈 매운 닭 불고기,Spicy korean chicken with Mozzarella cheese + Your choice of soft tofu soup or noodles,,24.95,,,,,
C4,Beef Bulgogi Combo,소불고기 콤보,Korean BBQ style beef bulgogi + Your choice of soft tofu soup or noodles,,23.95,,,,,
C5,Cheese Beef Bulgogi combo,치즈 소불고기 콤보,Korean BBQ style marinated ribeye beef with Mozzarella cheese + Your choice of soft tofu soup or noodles,,25.95,,Special Traditional,,Serves 1 person and comes with rice,
C6,Spicy Pork Combo,돼지불고기 콤보,Korean BBQ style spicy pork + Your choice of soft tofu soup or noodles,,22.95,,,,,
C7,Cheese Pork Bulgogi Combo,치즈 매운 돼지 불고기 콤보,Korean BBQ style marinated spicy pork with Mozzarella cheese + Your choice of soft tofu soup or noodles,,24.95,,,,,
C8,Intestine Combo,곱창 콤보,Grilled Intestine + Your choice of soft tofu soup or noodles,,23.95,,,,,
