id,name,name_kr,price,image,category_title,category_title_kr,category_price,category_image
P1,Mountain Dew,,,,Pepsi Products,,2.50,
P2,Pepsi,,,,,,,
P3,Diet Pepsi,,,,,,,
P4,Tropicana Lemonade,,,,,,,
P5,Sierra Mist,,,,,,,
P6,Dr. Pepper,,,,,,,
P7,Ice Tea ( Unsweet),,,,,,,
