id,name,name_kr,description,description_kr,price,image,category_title,category_title_kr,category_note,category_image
A1,Fresh Tofu Salad,두부 샐러드,Fresh mixed greens topped with housemade tofu and our special soy salad dressing,,9.99,,Appetizer,,,
A2,Sesame Oil Fried Tofu,들기름 두부 구이,Grilled fresh tofu with wild sesame oil and  soy sauce,,10.99,,,,,
A3,Mung Bean Pancake,빈대떡,"Mung bean, cabbage, and green onions",,10.99,,,,,
A4,Corn Cheese,옥수수 와 치즈,Corn + Mayo and Cheese ,,9.99,,,,,
A5,Fried Dumplings (6 pc.),튀김 만두,Dumplings fried to perfection (contains beef & pork),,9.99,,,,,
A6,Seafood Pancake,해물파전,"Pancake with squid, and green onion",,10.99,,,,,
